Meta information
Meta Platforms Ireland Limited,Merrion Road,Dublin 4,D04 X2K5,Ireland,VAT Reg. No. IE9692928F

Advertiser Information
Account: 996391859240165,VAT: 4400284214

Billing Report: 9/18/2025 - 4/6/2026

Meta Ads payment
Payment Method: Visa ···· 9133
Date,Transaction ID,Amount,Currency
3/29/2026,26176512228700412-26159779150373716,46.97,ZAR
3/26/2026,26107326125619022-26091635930521378,414.03,ZAR
3/25/2026,26204321789252783-26091868900498078,183.95,ZAR
3/25/2026,26137988012552827-26129635226721446,91.98,ZAR
3/25/2026,26076134168738221-26091867397164895,45.99,ZAR
3/23/2026,26115376014814027-26267733912911573,48.96,ZAR
3/21/2026,26156457527372547-26038200159198289,46.17,ZAR
3/20/2026,26076727408678895-26141493482202285,533.54,ZAR
3/17/2026,26202499949434970-25942755325409433,76.22,ZAR
3/11/2026,25988543690830601-25889216214096678,92.53,ZAR
3/11/2026,26063178746700422-25996857219999241,46.26,ZAR
3/3/2026,25887624890922478-25912775098407454,611.60,ZAR
2/26/2026,25917929011225401-25816905841327720,306.27,ZAR
2/25/2026,25826695997015368-25917881841230114,196.83,ZAR
2/25/2026,26002913982726902-25744222588596042,196.83,ZAR
2/25/2026,25811308231887483-25811308275220812,131.23,ZAR
2/25/2026,25826603487024619-25790257720659202,74.99,ZAR
2/24/2026,25739037822447852-25837711635913808,92.28,ZAR
2/24/2026,25785152484503059-25912649308420034,46.14,ZAR
2/23/2026,25986683797683254-25810524165299218,654.35,ZAR
2/22/2026,25788172360867737-25803458122672489,711.85,ZAR
2/22/2026,25762689936749314-25798993883118913,550.85,ZAR
2/21/2026,25817172277967737-25817172344634397,503.70,ZAR
2/19/2026,25800392739645691-25791298690555103,484.15,ZAR
2/19/2026,25688599137491721-25787129990971973,548.55,ZAR
2/18/2026,25846110825073887-25781444398207199,548.55,ZAR
2/18/2026,25741769645508009-25782175054800793,37.95,ZAR
2/17/2026,25780510434967255-25780510468300585,37.95,ZAR
2/17/2026,25672124065805895-25779747541710211,37.95,ZAR
2/17/2026,25779086898442942-25769980349353604,37.95,ZAR
2/17/2026,25737907372560903-25928951616789806,37.95,ZAR
2/17/2026,25777872611897704-25928512836833684,37.95,ZAR
2/17/2026,25752251421126493-25732517393099899,37.95,ZAR
2/17/2026,25715736428111332-25927741936910774,37.95,ZAR
2/17/2026,25751466491204986-25731735026511469,37.95,ZAR
2/17/2026,25767241322960840-25714971808187794,37.95,ZAR
2/17/2026,25766310556387250-25840937518924547,37.95,ZAR
2/17/2026,25829859303365706-25839855522366080,37.95,ZAR
2/7/2026,25677839061901060-25677839141901052,37.95,ZAR
2/7/2026,25677058131979153-25742621518756148,37.95,ZAR
2/7/2026,25731972609821043-25631861166498856,37.95,ZAR
2/7/2026,25566553816362921-25612826285069014,60.65,ZAR
2/5/2026,25617787121239596-25713152585036379,37.95,ZAR
2/5/2026,25656908383994128-25722389227446044,37.95,ZAR
2/5/2026,25611591281859178-25656149774069989,37.95,ZAR
2/5/2026,25593921663626143-25593921720292804,37.95,ZAR
2/5/2026,25719427894408844-25644790971872543,37.95,ZAR
2/4/2026,25706110895740548-25706110945740543,37.95,ZAR
2/4/2026,25542015848816718-25542015908816712,37.95,ZAR
2/4/2026,25713715414980092-25648196161532017,37.95,ZAR
2/4/2026,25638369292514711-25622093747475595,37.95,ZAR
2/4/2026,25637682529250054-25602283306123309,37.95,ZAR
2/4/2026,25646277775057189-25637170315967942,37.95,ZAR
2/4/2026,25601137002904606-25601137039571269,37.95,ZAR
2/4/2026,25605244359160539-25700618072956497,37.95,ZAR
2/4/2026,25792247977126838-25792248063793496,37.95,ZAR
2/3/2026,25789903077361328-25630560603295580,37.95,ZAR
2/3/2026,25629417103409930-25788762380808731,37.95,ZAR
2/3/2026,25787953434222959-25637747165910250,37.95,ZAR
2/3/2026,25592679987083641-25692727327078905,37.95,ZAR
2/3/2026,25627361326948841-25627361340282173,37.95,ZAR
2/3/2026,25701523519532615-25635990712752562,37.95,ZAR
2/3/2026,25590589537292686-25595323990152576,37.95,ZAR
2/3/2026,25608266548858315-25608266598858310,37.95,ZAR
2/2/2026,25696090260075941-25590765327275109,37.95,ZAR
2/2/2026,25629448413406792-25620272340991073,37.95,ZAR
2/2/2026,25684081891276782-25628599670158333,37.95,ZAR
2/2/2026,25566812069670436-25618865764465064,37.95,ZAR
2/2/2026,25618389541179353-25683053654712939,37.95,ZAR
2/2/2026,25600287329656237-25681226021562369,37.95,ZAR
2/1/2026,25561926776825632-25583413214676987,37.95,ZAR
2/1/2026,25772021642482805-25687429777608656,37.95,ZAR
2/1/2026,25675878662097105-25620396497645317,37.95,ZAR
2/1/2026,25511246435226993-25674105012274470,37.95,ZAR
2/1/2026,25617491584602475-25767645972920372,37.95,ZAR
1/31/2026,25588991094119194-25553234507694859,37.95,ZAR
1/31/2026,25569468502738123-25552751597743150,36.80,ZAR
1/30/2026,25496197440065226-25603481739336793,38.33,ZAR
,Total Amount Billed,"9,280.10",ZAR

VAT Rate: 15%
"VAT Amount: 1,210.44"
