file,status,has_paid,receipt_for,keyword_class,allocation,split_detail,subtotal_zar,vat_zar,total_zar
2026-01-30T19-41 Transaction #25496197440065226-25603481739336793.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.33 VAT 5.00 total 38.33,33.33,5.00,38.33
2026-01-31T21-27 Transaction #25569468502738123-25552751597743150.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 32.00 VAT 4.80 total 36.80,32.00,4.80,36.80
2026-01-31T22-55 Transaction #25588991094119194-25553234507694859.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-01T08-28 Transaction #25617491584602475-25767645972920372.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-01T11-46 Transaction #25511246435226993-25674105012274470.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-01T16-20 Transaction #25675878662097105-25620396497645317.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-01T19-56 Transaction #25772021642482805-25687429777608656.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-01T23-49 Transaction #25561926776825632-25583413214676987.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-02T07-56 Transaction #25600287329656237-25681226021562369.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-02T13-07 Transaction #25618389541179353-25683053654712939.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-02T14-24 Transaction #25566812069670436-25618865764465064.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-02T15-49 Transaction #25684081891276782-25628599670158333.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-02T17-53 Transaction #25629448413406792-25620272340991073.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-02T20-48 Transaction #25696090260075941-25590765327275109.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-03T05-34 Transaction #25608266548858315-25608266598858310.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-03T09-12 Transaction #25590589537292686-25595323990152576.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-03T11-29 Transaction #25701523519532615-25635990712752562.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
